imageId,split
IDRiD_065test,TRAIN
IDRiD_066,TRAIN
IDRiD_066test,TRAIN
IDRiD_067,VALIDATION
IDRiD_067test,TRAIN
IDRiD_068,TRAIN
IDRiD_068test,TRAIN
IDRiD_069,VALIDATION
IDRiD_069test,TRAIN
IDRiD_070,VALIDATION
IDRiD_071,TEST
IDRiD_072,TEST
IDRiD_072test,VALIDATION
IDRiD_073,TRAIN
IDRiD_073test,TRAIN
IDRiD_074,TRAIN
IDRiD_074test,TRAIN
IDRiD_075,TRAIN
IDRiD_076,TRAIN
IDRiD_076test,TEST
IDRiD_077,TRAIN
IDRiD_078,TRAIN
IDRiD_078test,TRAIN
IDRiD_079,TRAIN
IDRiD_079test,TRAIN
IDRiD_080,TRAIN
IDRiD_080test,TEST
IDRiD_081,TRAIN
IDRiD_081test,TRAIN
IDRiD_082,TRAIN
IDRiD_082test,TRAIN
IDRiD_083,TRAIN
IDRiD_083test,TRAIN
IDRiD_084,TRAIN
IDRiD_084test,TRAIN
IDRiD_085,VALIDATION
IDRiD_085test,TRAIN
IDRiD_086,TRAIN
IDRiD_086test,TRAIN
IDRiD_087,TRAIN
IDRiD_087test,VALIDATION
IDRiD_088,TRAIN
IDRiD_088test,TRAIN
IDRiD_089,TRAIN
IDRiD_089test,TRAIN
IDRiD_090,TRAIN
IDRiD_090test,TEST
IDRiD_091,TRAIN
IDRiD_091test,VALIDATION
IDRiD_092,TRAIN
IDRiD_093,TRAIN
IDRiD_094,TRAIN
IDRiD_095,TRAIN
IDRiD_096,TRAIN
IDRiD_096test,TRAIN
IDRiD_097,TRAIN
IDRiD_098,VALIDATION
IDRiD_099,TRAIN
IDRiD_100,TRAIN
IDRiD_100test,TRAIN
IDRiD_101,TRAIN
IDRiD_101test,TEST
IDRiD_102,TRAIN
IDRiD_102test,TEST
IDRiD_103,TRAIN
IDRiD_103test,TRAIN
IDRiD_104,TRAIN
IDRiD_105,TRAIN
IDRiD_106,TEST
IDRiD_107,TRAIN
IDRiD_108,TEST
IDRiD_109,VALIDATION
IDRiD_111,TRAIN
IDRiD_112,TRAIN
IDRiD_113,TRAIN
IDRiD_114,TRAIN
IDRiD_115,TRAIN
IDRiD_116,TRAIN
IDRiD_117,TRAIN
IDRiD_118,TRAIN
IDRiD_119,TRAIN
IDRiD_121,TRAIN
IDRiD_122,VALIDATION
IDRiD_123,TRAIN
IDRiD_124,TRAIN
IDRiD_125,TRAIN
IDRiD_126,TRAIN
IDRiD_127,TEST
IDRiD_128,TEST
IDRiD_129,TEST
IDRiD_130,TRAIN
IDRiD_131,TRAIN
IDRiD_132,TEST
IDRiD_133,TRAIN
IDRiD_134,TEST
IDRiD_135,TEST
IDRiD_136,VALIDATION
IDRiD_137,TRAIN
IDRiD_139,TRAIN
IDRiD_140,TRAIN
IDRiD_143,TRAIN
IDRiD_144,TRAIN
IDRiD_152,TRAIN
IDRiD_154,TRAIN
IDRiD_155,TRAIN
IDRiD_156,TRAIN
IDRiD_157,TRAIN
IDRiD_158,VALIDATION
IDRiD_160,TRAIN
IDRiD_165,TRAIN
IDRiD_166,TRAIN
IDRiD_167,TRAIN
IDRiD_172,TRAIN
IDRiD_174,TRAIN
IDRiD_175,TRAIN
IDRiD_176,TEST
IDRiD_177,TEST
IDRiD_178,TRAIN
IDRiD_179,VALIDATION
IDRiD_180,TRAIN
IDRiD_181,TRAIN
IDRiD_182,TRAIN
IDRiD_184,TRAIN
IDRiD_185,TRAIN
IDRiD_186,VALIDATION
IDRiD_187,TRAIN
IDRiD_188,TRAIN
IDRiD_189,TRAIN
IDRiD_190,TRAIN
IDRiD_191,TRAIN
IDRiD_192,TRAIN
IDRiD_193,TRAIN
IDRiD_194,TRAIN
IDRiD_195,TRAIN
IDRiD_196,TEST
IDRiD_197,TEST
IDRiD_198,TRAIN
IDRiD_199,TRAIN
IDRiD_200,TRAIN
IDRiD_201,TRAIN
IDRiD_202,TRAIN
IDRiD_203,VALIDATION
IDRiD_204,TRAIN
IDRiD_205,TEST
IDRiD_206,VALIDATION
IDRiD_207,TRAIN
IDRiD_208,TEST
IDRiD_209,TEST
IDRiD_210,TRAIN
IDRiD_211,TEST
IDRiD_212,TRAIN
IDRiD_213,TRAIN
IDRiD_214,TRAIN
IDRiD_215,TRAIN
IDRiD_217,TRAIN
IDRiD_218,TRAIN
IDRiD_219,VALIDATION
IDRiD_220,TRAIN
IDRiD_221,TRAIN
IDRiD_222,TRAIN
IDRiD_223,TRAIN
IDRiD_224,TRAIN
IDRiD_225,VALIDATION
IDRiD_226,TRAIN
IDRiD_227,TEST
IDRiD_228,VALIDATION
IDRiD_229,TRAIN
IDRiD_230,TRAIN
IDRiD_231,TRAIN
IDRiD_232,TRAIN
IDRiD_233,VALIDATION
IDRiD_234,TRAIN
IDRiD_235,VALIDATION
IDRiD_236,TRAIN
IDRiD_237,TRAIN
IDRiD_238,VALIDATION
IDRiD_239,VALIDATION
IDRiD_240,TRAIN
IDRiD_241,TEST
IDRiD_242,TRAIN
IDRiD_243,TRAIN
IDRiD_244,TRAIN
IDRiD_245,TRAIN
IDRiD_246,TRAIN
IDRiD_247,TEST
IDRiD_248,VALIDATION
IDRiD_249,TRAIN
IDRiD_250,TEST
IDRiD_251,TRAIN
IDRiD_252,TRAIN
IDRiD_253,TRAIN
IDRiD_254,TRAIN
IDRiD_255,TRAIN
IDRiD_256,TRAIN
IDRiD_257,TRAIN
IDRiD_258,TRAIN
IDRiD_259,VALIDATION
IDRiD_260,VALIDATION
IDRiD_261,VALIDATION
IDRiD_262,TRAIN
IDRiD_263,TRAIN
IDRiD_264,TEST
IDRiD_266,TRAIN
IDRiD_267,TRAIN
IDRiD_268,VALIDATION
IDRiD_269,TEST
IDRiD_270,VALIDATION
IDRiD_271,TRAIN
IDRiD_272,TEST
IDRiD_273,TRAIN
IDRiD_274,VALIDATION
IDRiD_275,TRAIN
IDRiD_276,TRAIN
IDRiD_278,TRAIN
IDRiD_279,TRAIN
IDRiD_280,TRAIN
IDRiD_281,VALIDATION
IDRiD_282,TEST
IDRiD_283,VALIDATION
IDRiD_284,TEST
IDRiD_285,TRAIN
IDRiD_286,VALIDATION
IDRiD_287,TRAIN
IDRiD_288,TRAIN
IDRiD_289,TEST
IDRiD_290,TRAIN
IDRiD_291,TEST
IDRiD_292,TRAIN
IDRiD_293,TEST
IDRiD_294,TRAIN
IDRiD_295,TRAIN
IDRiD_296,TRAIN
IDRiD_297,TRAIN
IDRiD_298,TRAIN
IDRiD_299,TEST
IDRiD_300,TRAIN
IDRiD_301,TRAIN
IDRiD_302,TRAIN
IDRiD_303,VALIDATION
IDRiD_304,TRAIN
IDRiD_305,TEST
IDRiD_306,TRAIN
IDRiD_307,TRAIN
IDRiD_308,TRAIN
IDRiD_309,TRAIN
IDRiD_310,TRAIN
IDRiD_311,TRAIN
IDRiD_312,TRAIN
IDRiD_313,TRAIN
IDRiD_314,TEST
IDRiD_315,VALIDATION
IDRiD_316,TRAIN
IDRiD_317,TRAIN
IDRiD_318,TRAIN
IDRiD_319,VALIDATION
IDRiD_320,TRAIN
IDRiD_321,TEST
IDRiD_322,VALIDATION
IDRiD_323,TEST
IDRiD_324,TRAIN
IDRiD_325,TEST
IDRiD_326,TRAIN
IDRiD_327,TRAIN
IDRiD_328,TRAIN
IDRiD_329,TRAIN
IDRiD_330,TRAIN
IDRiD_331,TRAIN
IDRiD_332,TRAIN
IDRiD_333,TRAIN
IDRiD_334,TRAIN
IDRiD_335,TEST
IDRiD_337,TRAIN
IDRiD_338,TRAIN
IDRiD_339,TRAIN
IDRiD_340,TRAIN
IDRiD_341,VALIDATION
IDRiD_342,VALIDATION
IDRiD_343,TRAIN
IDRiD_344,TRAIN
IDRiD_345,TRAIN
IDRiD_347,TRAIN
IDRiD_348,TRAIN
IDRiD_349,TRAIN
IDRiD_350,TRAIN
IDRiD_353,TEST
IDRiD_354,TEST
IDRiD_356,TRAIN
IDRiD_357,VALIDATION
IDRiD_358,VALIDATION
IDRiD_360,VALIDATION
IDRiD_361,TRAIN
IDRiD_362,VALIDATION
IDRiD_363,TRAIN
IDRiD_364,TRAIN
IDRiD_365,TRAIN
IDRiD_366,TRAIN
IDRiD_367,TEST
IDRiD_368,VALIDATION
IDRiD_369,TRAIN
IDRiD_370,TRAIN
IDRiD_371,TEST
IDRiD_372,VALIDATION
IDRiD_374,TRAIN
IDRiD_375,TRAIN
IDRiD_376,VALIDATION
IDRiD_377,TRAIN
IDRiD_378,VALIDATION
IDRiD_379,TRAIN
IDRiD_380,TRAIN
IDRiD_381,TEST
IDRiD_383,VALIDATION
IDRiD_384,VALIDATION
IDRiD_385,TEST
IDRiD_386,TRAIN
IDRiD_387,TRAIN
IDRiD_388,VALIDATION
IDRiD_389,TRAIN
IDRiD_390,TRAIN
IDRiD_391,VALIDATION
IDRiD_392,TEST
IDRiD_393,TRAIN
IDRiD_394,TRAIN
IDRiD_396,TRAIN
IDRiD_397,TRAIN
IDRiD_398,TRAIN
IDRiD_399,VALIDATION
IDRiD_400,TEST
IDRiD_401,TRAIN
IDRiD_402,TRAIN
IDRiD_403,TRAIN
IDRiD_404,TRAIN
IDRiD_405,TRAIN
IDRiD_406,TRAIN
IDRiD_407,TRAIN
IDRiD_408,TRAIN
IDRiD_409,TRAIN
IDRiD_410,VALIDATION
IDRiD_411,TEST
IDRiD_412,TEST
IDRiD_413,TRAIN
